,Year,Region,Birth_rate,Death_rate,Divorce_rate,Marriage_rate,Natural_growth_rate,Is_Capital,Is_bigcity,순이동률,전입률,전출률
63,2012,Gangwon-do,8.06,7.5,2.2,5.9,0.6,False,False,0.0,14.8,14.8
64,2012,Gangwon-do,7.46,6.7,2.2,5.1,0.7,False,False,0.0,14.8,14.8
65,2012,Gangwon-do,8.38,6.6,2.2,5.4,1.8,False,False,0.0,14.8,14.8
66,2012,Gangwon-do,8.06,6.5,2.7,5.0,1.6,False,False,0.0,14.8,14.8
67,2012,Gangwon-do,8.21,6.8,2.4,4.3,1.4,False,False,0.0,14.8,14.8
68,2012,Gangwon-do,8.97,6.7,2.1,3.7,2.3,False,False,0.0,14.8,14.8
69,2012,Gangwon-do,8.32,7.5,2.5,5.7,0.9,False,False,0.0,14.8,14.8
70,2012,Gangwon-do,7.7,7.3,2.5,6.1,0.4,False,False,0.0,14.8,14.8
71,2012,Gangwon-do,6.77,7.4,2.2,7.0,-0.6,False,False,0.0,14.8,14.8
72,2012,Gwangju,11.13,4.5,1.8,6.6,6.6,False,True,-0.1,15.7,15.8
73,2012,Gwangju,11.48,5.9,2.2,6.2,5.6,False,True,-0.1,15.7,15.8
74,2012,Gwangju,10.42,5.2,2.0,6.1,5.3,False,True,-0.1,15.7,15.8
75,2012,Gwangju,9.95,4.5,1.8,6.2,5.4,False,True,-0.1,15.7,15.8
76,2012,Gwangju,9.08,4.4,2.2,5.5,4.7,False,True,-0.1,15.7,15.8
77,2012,Gwangju,9.27,4.4,1.9,5.8,4.9,False,True,-0.1,15.7,15.8
78,2012,Gwangju,9.67,4.2,2.1,4.9,5.5,False,True,-0.1,15.7,15.8
79,2012,Gwangju,9.84,4.7,2.2,5.4,5.1,False,True,-0.1,15.7,15.8
80,2012,Gwangju,10.57,4.6,1.7,4.1,6.0,False,True,-0.1,15.7,15.8
81,2012,Gwangju,10.21,4.7,2.1,5.3,5.5,False,True,-0.1,15.7,15.8
82,2012,Gwangju,9.13,4.7,2.0,6.4,4.5,False,True,-0.1,15.7,15.8
83,2012,Gwangju,7.81,5.0,2.1,8.1,2.8,False,True,-0.1,15.7,15.8
84,2012,Gyeonggi-do,11.54,4.5,2.2,6.9,7.0,True,True,0.7,16.3,15.6
85,2012,Gyeonggi-do,11.08,4.9,2.5,6.3,6.1,True,True,0.7,16.3,15.6
86,2012,Gyeonggi-do,10.95,4.6,2.3,6.8,6.4,True,True,0.7,16.3,15.6
87,2012,Gyeonggi-do,10.52,4.4,2.1,6.7,6.2,True,True,0.7,16.3,15.6
88,2012,Gyeonggi-do,10.13,4.0,2.4,6.6,6.1,True,True,0.7,16.3,15.6
89,2012,Gyeonggi-do,10.11,4.0,2.5,6.4,6.1,True,True,0.7,16.3,15.6
90,2012,Gyeonggi-do,10.19,3.9,2.5,5.9,6.2,True,True,0.7,16.3,15.6
91,2012,Gyeonggi-do,10.69,4.1,2.5,5.9,6.6,True,True,0.7,16.3,15.6
92,2012,Gyeonggi-do,11.18,3.9,2.3,4.9,7.2,True,True,0.7,16.3,15.6
93,2012,Gyeonggi-do,10.66,4.3,2.6,6.7,6.4,True,True,0.7,16.3,15.6
94,2012,Gyeonggi-do,9.9,4.3,2.5,7.6,5.6,True,True,0.7,16.3,15.6
95,2012,Gyeonggi-do,8.84,4.3,2.1,9.2,4.5,True,True,0.7,16.3,15.6
96,2012,Gyeongsangbuk-do,10.22,8.1,1.9,5.9,2.1,False,False,-0.2,12.5,12.7
97,2012,Gyeongsangbuk-do,9.9,9.9,2.1,6.2,0.0,False,False,-0.2,12.5,12.7
98,2012,Gyeongsangbuk-do,9.91,8.4,2.1,6.0,1.6,False,False,-0.2,12.5,12.7
99,2012,Gyeongsangbuk-do,9.2,7.8,1.9,6.3,1.4,False,False,-0.2,12.5,12.7
100,2012,Gyeongsangbuk-do,8.77,7.4,2.4,5.9,1.4,False,False,-0.2,12.5,12.7
101,2012,Gyeongsangbuk-do,8.57,7.1,2.2,5.7,1.5,False,False,-0.2,12.5,12.7
102,2012,Gyeongsangbuk-do,9.28,6.9,2.1,5.1,2.4,False,False,-0.2,12.5,12.7
103,2012,Gyeongsangbuk-do,9.06,6.8,2.2,4.9,2.3,False,False,-0.2,12.5,12.7
104,2012,Gyeongsangbuk-do,9.46,7.0,2.0,3.6,2.5,False,False,-0.2,12.5,12.7
105,2012,Gyeongsangbuk-do,9.17,7.8,2.1,5.2,1.3,False,False,-0.2,12.5,12.7
106,2012,Gyeongsangbuk-do,8.9,7.9,1.9,6.6,1.0,False,False,-0.2,12.5,12.7
107,2012,Gyeongsangbuk-do,7.98,7.7,1.9,7.4,0.3,False,False,-0.2,12.5,12.7
108,2012,Gyeongsangnam-do,11.11,6.5,2.0,7.3,4.6,False,False,-0.1,12.6,12.7
109,2012,Gyeongsangnam-do,10.57,7.2,2.1,6.3,3.4,False,False,-0.1,12.6,12.7
110,2012,Gyeongsangnam-do,10.66,6.6,2.1,5.9,4.1,False,False,-0.1,12.6,12.7
111,2012,Gyeongsangnam-do,10.66,6.5,2.0,6.3,4.1,False,False,-0.1,12.6,12.7
112,2012,Gyeongsangnam-do,9.75,5.9,2.5,6.1,3.8,False,False,-0.1,12.6,12.7
113,2012,Gyeongsangnam-do,9.64,5.6,2.2,6.1,4.0,False,False,-0.1,12.6,12.7
114,2012,Gyeongsangnam-do,9.61,5.5,2.5,5.5,4.2,False,False,-0.1,12.6,12.7
115,2012,Gyeongsangnam-do,10.02,5.5,2.4,5.3,4.5,False,False,-0.1,12.6,12.7
116,2012,Gyeongsangnam-do,10.54,5.9,2.2,3.8,4.6,False,False,-0.1,12.6,12.7
117,2012,Gyeongsangnam-do,10.46,6.3,2.4,5.7,4.2,False,False,-0.1,12.6,12.7
118,2012,Gyeongsangnam-do,9.93,6.5,2.4,6.8,3.5,False,False,-0.1,12.6,12.7
119,2012,Gyeongsangnam-do,8.23,6.5,2.2,8.3,1.7,False,False,-0.1,12.6,12.7
120,2012,Incheon,10.84,4.7,2.5,6.6,6.1,True,True,1.0,16.8,15.8
121,2012,Incheon,10.05,5.2,2.9,6.4,4.9,True,True,1.0,16.8,15.8
122,2012,Incheon,10.58,4.8,2.7,6.6,5.8,True,True,1.0,16.8,15.8
123,2012,Incheon,9.95,4.7,2.3,6.4,5.3,True,True,1.0,16.8,15.8
124,2012,Incheon,9.54,4.4,2.8,6.5,5.1,True,True,1.0,16.8,15.8
125,2012,Incheon,9.78,4.5,2.5,6.2,5.3,True,True,1.0,16.8,15.8
126,2012,Incheon,9.64,4.3,3.0,6.1,5.4,True,True,1.0,16.8,15.8
127,2012,Incheon,10.07,4.6,2.5,5.8,5.5,True,True,1.0,16.8,15.8
128,2012,Incheon,10.54,4.3,2.6,4.8,6.3,True,True,1.0,16.8,15.8
129,2012,Incheon,10.36,4.5,2.4,6.5,5.8,True,True,1.0,16.8,15.8
130,2012,Incheon,9.68,4.8,2.7,7.3,4.9,True,True,1.0,16.8,15.8
131,2012,Incheon,8.4,4.7,2.5,8.5,3.7,True,True,1.0,16.8,15.8
132,2012,Jeju,10.87,6.2,2.6,6.8,4.7,False,False,0.8,13.8,13.0
133,2012,Jeju,11.59,6.8,2.5,7.1,4.8,False,False,0.8,13.8,13.0
134,2012,Jeju,11.32,6.8,2.4,8.1,4.5,False,False,0.8,13.8,13.0
135,2012,Jeju,10.84,5.5,2.0,7.0,5.3,False,False,0.8,13.8,13.0
136,2012,Jeju,10.97,5.2,2.2,6.1,5.7,False,False,0.8,13.8,13.0
137,2012,Jeju,9.21,5.0,3.1,5.6,4.2,False,False,0.8,13.8,13.0
138,2012,Jeju,9.77,4.9,2.5,5.1,4.8,False,False,0.8,13.8,13.0
139,2012,Jeju,9.9,5.2,2.9,4.7,4.7,False,False,0.8,13.8,13.0
140,2012,Jeju,10.51,6.0,2.4,4.0,4.5,False,False,0.8,13.8,13.0
141,2012,Jeju,10.16,5.3,2.6,5.0,4.9,False,False,0.8,13.8,13.0
142,2012,Jeju,10.26,5.0,2.6,6.9,5.2,False,False,0.8,13.8,13.0
143,2012,Jeju,9.73,5.7,2.0,6.5,4.0,False,False,0.8,13.8,13.0
144,2012,Jeollabuk-do,10.14,7.7,1.9,6.0,2.5,False,False,,,
145,2012,Jeollabuk-do,9.18,9.1,2.2,5.7,0.1,False,False,,,
146,2012,Jeollabuk-do,8.8,8.0,2.2,6.0,0.8,False,False,,,
147,2012,Jeollabuk-do,9.08,7.4,2.2,5.7,1.7,False,False,,,
148,2012,Jeollabuk-do,8.67,6.9,2.2,5.2,1.8,False,False,,,
149,2012,Jeollabuk-do,8.21,7.0,2.2,5.5,1.2,False,False,,,
150,2012,Jeollabuk-do,8.68,6.7,1.8,4.6,2.0,False,False,,,
151,2012,Jeollabuk-do,8.88,6.7,2.0,4.6,2.2,False,False,,,
152,2012,Jeollabuk-do,8.66,6.6,2.0,3.4,2.1,False,False,,,
153,2012,Jeollabuk-do,8.97,7.4,2.0,4.8,1.6,False,False,,,
154,2012,Jeollabuk-do,8.67,7.6,2.3,6.1,1.0,False,False,,,
155,2012,Jeollabuk-do,6.81,7.4,1.8,7.0,-0.6,False,False,,,
156,2012,Jeollanam-do,10.87,9.4,1.9,5.9,1.4,False,False,-0.3,12.6,12.9
157,2012,Jeollanam-do,9.21,11.1,2.2,5.6,-1.9,False,False,-0.3,12.6,12.9
158,2012,Jeollanam-do,9.03,9.3,1.8,5.8,-0.2,False,False,-0.3,12.6,12.9
159,2012,Jeollanam-do,8.81,9.1,1.8,5.5,-0.3,False,False,-0.3,12.6,12.9
160,2012,Jeollanam-do,8.8,8.6,2.3,4.8,0.2,False,False,-0.3,12.6,12.9
161,2012,Jeollanam-do,8.52,7.7,2.3,5.3,0.8,False,False,-0.3,12.6,12.9
162,2012,Jeollanam-do,8.55,7.9,2.3,4.2,0.7,False,False,-0.3,12.6,12.9
163,2012,Jeollanam-do,8.94,7.7,2.1,4.2,1.2,False,False,-0.3,12.6,12.9
164,2012,Jeollanam-do,9.29,8.3,2.3,3.6,1.0,False,False,-0.3,12.6,12.9
165,2012,Jeollanam-do,9.1,9.4,2.4,4.7,-0.3,False,False,-0.3,12.6,12.9
166,2012,Jeollanam-do,9.09,8.6,2.1,5.7,0.5,False,False,-0.3,12.6,12.9
167,2012,Jeollanam-do,7.31,9.0,1.9,6.8,-1.7,False,False,-0.3,12.6,12.9
168,2012,Sejong,11.642436974789916,4.931092436974789,1.7823529411764705,6.330252100840336,6.709243697478992,False,False,31.2,58.4,27.2
