Year,Busan,Chungcheongbuk-do,Chungcheongnam-do,Daegu,Daejeon,Gwangju,Gyeonggi-do,Incheon,Jeollabuk-do,Jeollanam-do,Seoul,Ulsan
2015,1.675,1.8583333333333334,2.033333333333333,2.566666666666667,4.491666666666666,3.4,4.908333333333333,4.166666666666667,0.19166666666666665,-0.775,4.0249999999999995,5.858333333333333
2016,1.1166666666666667,1.25,1.3166666666666667,1.9333333333333333,3.641666666666667,2.966666666666667,4.041666666666667,3.2750000000000004,-0.7416666666666667,-1.3666666666666665,3.266666666666667,5.125
2017,0.033333333333333326,0.18333333333333335,0.18333333333333335,0.9416666666666668,2.5416666666666665,1.7666666666666666,2.941666666666667,2.1166666666666667,-1.5916666666666668,-2.3583333333333334,2.316666666666667,3.875
2018,-1.0,-0.4749999999999999,-0.6749999999999999,0.12499999999999999,1.3,0.9166666666666666,2.191666666666667,1.6416666666666666,-2.4833333333333334,-3.1916666666666664,1.3416666666666668,2.441666666666667
2019,-1.5416666666666667,-1.2750000000000001,-1.1166666666666667,-0.21666666666666667,0.625,0.5166666666666667,1.7416666666666665,1.1583333333333334,-3.0416666666666665,-3.1999999999999997,1.0250000000000001,1.9833333333333334
2020,-2.35,-1.8833333333333335,-1.9333333333333333,-1.3583333333333334,-0.04999999999999999,-0.325,1.1416666666666666,0.11666666666666665,-3.6333333333333333,-4.191666666666667,0.19999999999999998,1.1583333333333334
2021,-2.7083333333333335,-2.3583333333333334,-2.525,-1.6333333333333335,-0.35000000000000003,-0.025000000000000022,0.6583333333333333,-0.5166666666666666,-4.233333333333333,-4.983333333333333,-0.3416666666666666,0.5666666666666668
2022,-4.3500000000000005,-4.266666666666667,-4.666666666666667,-3.3833333333333333,-1.3499999999999999,-1.5166666666666666,-0.28333333333333327,-1.75,-6.45,-7.416666666666667,-1.5166666666666666,-0.9333333333333332
