Year,Average_Price
2002,65.97631578947369
2003,68.61105263157896
2004,72.14526315789472
2005,74.65897435897436
2006,75.66641025641027
2007,77.57615384615386
2008,83.14307692307692
2009,86.97692307692309
2010,85.04333333333334
2011,89.30435897435898
2012,91.15256410256411
2013,91.91102564102565
2014,93.0802564102564
2015,94.91025641025642
2016,94.90025641025642
2017,97.50538461538461
2018,97.06666666666666
2019,97.9717948717949
2020,100.0
2021,105.08769230769228
2022,109.93435897435899
