"행정구역(시군구)별",2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),남자인구수 (명),남자인구수 (명),남자인구수 (명),여자인구수 (명),여자인구수 (명),여자인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),남자인구수 (명),남자인구수 (명),남자인구수 (명),여자인구수 (명),여자인구수 (명),여자인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),남자인구수 (명),남자인구수 (명),남자인구수 (명),여자인구수 (명),여자인구수 (명),여자인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),남자인구수 (명),남자인구수 (명),남자인구수 (명),여자인구수 (명),여자인구수 (명),여자인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),남자인구수 (명),남자인구수 (명),남자인구수 (명),여자인구수 (명),여자인구수 (명),여자인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),남자인구수 (명),남자인구수 (명),남자인구수 (명),여자인구수 (명),여자인구수 (명),여자인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),남자인구수 (명),남자인구수 (명),남자인구수 (명),여자인구수 (명),여자인구수 (명),여자인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),남자인구수 (명),남자인구수 (명),남자인구수 (명),여자인구수 (명),여자인구수 (명),여자인구수 (명)
"행정구역(시군구)별",원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
"울산광역시",1173534,7157,0.6,604889,3985,0.7,568645,3172,0.6,1172304,-1230,-0.1,603797,-1092,-0.2,568507,-138,0.0,1165132,-7172,-0.6,599480,-4317,-0.7,565652,-2855,-0.5,1155623,-9509,-0.8,593819,-5661,-0.9,561804,-3848,-0.7,1148019,-7604,-0.7,589712,-4107,-0.7,558307,-3497,-0.6,1136017,-12002,-1.0,583708,-6004,-1.0,552309,-5998,-1.1,1121592,-14425,-1.3,576217,-7491,-1.3,545375,-6934,-1.3,1110663,-10929,-1.0,570368,-5849,-1.0,540295,-5080,-0.9
"세종특별자치시",210884,54759,35.1,105752,26890,34.1,105132,27869,36.1,243048,32164,15.3,121505,15753,14.9,121543,16411,15.6,280100,37052,15.2,139734,18229,15.0,140366,18823,15.5,314126,34026,12.1,156831,17097,12.2,157295,16929,12.1,340575,26449,8.4,169845,13014,8.3,170730,13435,8.5,355831,15256,4.5,177568,7723,4.5,178263,7533,4.4,371895,16064,4.5,185678,8110,4.6,186217,7954,4.5,383591,11696,3.1,191389,5711,3.1,192202,5985,3.2
"경기도",12522606,164776,1.3,6299812,79999,1.3,6222794,84777,1.4,12716780,194174,1.6,6395453,95641,1.5,6321327,98533,1.6,12873895,157115,1.2,6475323,79870,1.2,6398572,77245,1.2,13077153,203258,1.6,6577501,102178,1.6,6499652,101080,1.6,13239666,162513,1.2,6659995,82494,1.3,6579671,80019,1.2,13427014,187348,1.4,6754469,94474,1.4,6672545,92874,1.4,13565450,138436,1.0,6827298,72829,1.1,6738152,65607,1.0,13589432,23982,0.2,6839276,11978,0.2,6750156,12004,0.2
"강원특별자치도",1549507,5065,0.3,781434,3427,0.4,768073,1638,0.2,1550806,1299,0.1,781146,-288,0.0,769660,1587,0.2,1550142,-664,0.0,780635,-511,-0.1,769507,-153,0.0,1543052,-7090,-0.5,776456,-4179,-0.5,766596,-2911,-0.4,1541502,-1550,-0.1,775386,-1070,-0.1,766116,-480,-0.1,1542840,1338,0.1,776505,1119,0.1,766335,219,0.0,1538492,-4348,-0.3,774332,-2173,-0.3,764160,-2175,-0.3,1536498,-1994,-0.1,772947,-1385,-0.2,763551,-609,-0.1
"충청북도",1583952,5019,0.3,798896,2755,0.3,785056,2264,0.3,1591625,7673,0.5,803240,4344,0.5,788385,3329,0.4,1594432,2807,0.2,805091,1851,0.2,789341,956,0.1,1599252,4820,0.3,808971,3880,0.5,790281,940,0.1,1600007,755,0.0,810384,1413,0.2,789623,-658,-0.1,1600837,830,0.1,811591,1207,0.1,789246,-377,0.0,1597427,-3410,-0.2,810672,-919,-0.1,786755,-2491,-0.3,1595058,-2369,-0.1,810782,110,0.0,784276,-2479,-0.3
"충청남도",2077649,15376,0.7,1054439,8547,0.8,1023210,6829,0.7,2096727,19078,0.9,1064765,10326,1.0,1031962,8752,0.9,2116770,20043,1.0,1076270,11505,1.1,1040500,8538,0.8,2126282,9512,0.4,1082009,5739,0.5,1044273,3773,0.4,2123709,-2573,-0.1,1081938,-71,0.0,1041771,-2502,-0.2,2121029,-2680,-0.1,1082634,696,0.1,1038395,-3376,-0.3,2119257,-1772,-0.1,1083366,732,0.1,1035891,-2504,-0.2,2123037,3780,0.2,1086632,3266,0.3,1036405,514,0.0
"전북특별자치도",1869711,-1849,-0.1,930255,-1281,-0.1,939456,-568,-0.1,1864791,-4920,-0.3,927505,-2750,-0.3,937286,-2170,-0.2,1854607,-10184,-0.5,922307,-5198,-0.6,932300,-4986,-0.5,1836832,-17775,-1.0,913297,-9010,-1.0,923535,-8765,-0.9,1818917,-17915,-1.0,904110,-9187,-1.0,914807,-8728,-0.9,1804104,-14813,-0.8,896874,-7236,-0.8,907230,-7577,-0.8,1786855,-17249,-1.0,888994,-7880,-0.9,897861,-9369,-1.0,1769607,-17248,-1.0,880592,-8402,-0.9,889015,-8846,-1.0
"전라남도",1908996,3216,0.2,953881,1906,0.2,955115,1310,0.1,1903914,-5082,-0.3,951889,-1992,-0.2,952025,-3090,-0.3,1896424,-7490,-0.4,948290,-3599,-0.4,948134,-3891,-0.4,1882970,-13454,-0.7,943000,-5290,-0.6,939970,-8164,-0.9,1868745,-14225,-0.8,937674,-5326,-0.6,931071,-8899,-0.9,1851549,-17196,-0.9,930615,-7059,-0.8,920934,-10137,-1.1,1832803,-18746,-1.0,922221,-8394,-0.9,910582,-10352,-1.1,1817697,-15106,-0.8,915272,-6949,-0.8,902425,-8157,-0.9
"경상북도",2702826,2032,0.1,1357306,1124,0.1,1345520,908,0.1,2700398,-2428,-0.1,1356868,-438,0.0,1343530,-1990,-0.1,2691706,-8692,-0.3,1353164,-3704,-0.3,1338542,-4988,-0.4,2676831,-14875,-0.6,1346689,-6475,-0.5,1330142,-8400,-0.6,2665836,-10995,-0.4,1342037,-4652,-0.3,1323799,-6343,-0.5,2639422,-26414,-1.0,1329211,-12826,-1.0,1310211,-13588,-1.0,2626609,-12813,-0.5,1323661,-5550,-0.4,1302948,-7263,-0.6,2600492,-26117,-1.0,1311881,-11780,-0.9,1288611,-14337,-1.1
"경상남도",3364702,14445,0.4,1694981,7867,0.5,1669721,6578,0.4,3373871,9169,0.3,1699219,4238,0.3,1674652,4931,0.3,3380404,6533,0.2,1701413,2194,0.1,1678991,4339,0.3,3373988,-6416,-0.2,1697412,-4001,-0.2,1676576,-2415,-0.1,3362553,-11435,-0.3,1692032,-5380,-0.3,1670521,-6055,-0.4,3340216,-22337,-0.7,1681423,-10609,-0.6,1658793,-11728,-0.7,3314183,-26033,-0.8,1668338,-13085,-0.8,1645845,-12948,-0.8,3280493,-33690,-1.0,1651675,-16663,-1.0,1628818,-17027,-1.0
"제주특별자치도",624395,17049,2.8,313428,8772,2.9,310967,8277,2.7,641597,17202,2.8,322545,9117,2.9,319052,8085,2.6,657083,15486,2.4,330823,8278,2.6,326260,7208,2.3,667191,10108,1.5,335719,4896,1.5,331472,5212,1.6,670989,3798,0.6,337345,1626,0.5,333644,2172,0.7,674635,3646,0.5,338609,1264,0.4,336026,2382,0.7,676759,2124,0.3,339177,568,0.2,337582,1556,0.5,678159,1400,0.2,339590,413,0.1,338569,987,0.3
